Date	Open*	High	Low	Close**	Volume	Market Cap
Oct 23, 2020	5.62	5.65	5.41	5.48	582,003,737	637,690,225
Oct 22, 2020	5.37	5.72	5.37	5.62	602,470,749	653,712,370
Oct 21, 2020	5.09	5.40	5.08	5.37	489,997,722	624,498,061
Oct 20, 2020	5.22	5.26	5.06	5.10	431,135,509	592,877,448
Oct 19, 2020	5.23	5.29	5.16	5.22	473,409,560	607,366,181
Oct 18, 2020	5.19	5.25	5.18	5.22	617,839,279	607,473,581
Oct 17, 2020	5.18	5.26	5.16	5.19	610,272,085	603,686,939
Oct 16, 2020	5.34	5.36	5.15	5.18	620,883,094	602,303,006
Oct 15, 2020	5.38	5.43	5.31	5.33	505,312,350	620,062,283
Oct 14, 2020	5.37	5.45	5.32	5.38	602,199,143	625,884,757
Oct 13, 2020	5.47	5.52	5.31	5.36	607,968,961	622,912,706
Oct 12, 2020	5.44	5.55	5.41	5.46	585,420,652	635,376,306
Oct 11, 2020	5.29	5.45	5.28	5.44	458,773,819	632,483,456
Oct 10, 2020	5.27	5.43	5.27	5.30	514,817,451	616,743,463
Oct 09, 2020	5.19	5.31	5.14	5.27	633,564,795	613,491,692
Oct 08, 2020	5.18	5.24	5.12	5.18	550,790,859	602,604,970
Oct 07, 2020	5.24	5.25	5.16	5.18	474,681,909	601,953,724
Oct 06, 2020	5.11	5.33	5.08	5.24	660,520,819	609,886,081
Oct 05, 2020	5.16	5.20	5.08	5.11	654,199,813	594,269,304
Oct 04, 2020	5.13	5.20	5.09	5.16	737,462,321	600,518,194
Oct 03, 2020	5.19	5.21	5.10	5.14	591,103,525	597,524,383
Oct 02, 2020	5.34	5.37	5.06	5.19	567,075,230	604,021,254
Oct 01, 2020	5.40	5.49	5.21	5.33	531,628,981	619,420,526
Sep 30, 2020	5.41	5.43	5.27	5.40	512,220,706	627,910,371
Sep 29, 2020	5.42	5.46	5.34	5.42	542,531,185	630,375,962
Sep 28, 2020	5.46	5.60	5.41	5.43	637,243,339	631,403,710
Sep 27, 2020	5.38	5.77	5.37	5.45	766,307,208	633,625,696
Sep 26, 2020	5.00	5.44	5.00	5.39	724,951,141	626,757,739
Sep 25, 2020	5.01	5.02	4.89	4.99	533,604,891	580,532,178
Sep 24, 2020	4.86	5.02	4.84	5.01	650,546,154	582,804,038
Sep 23, 2020	4.96	5.00	4.85	4.87	787,235,225	566,787,877
Sep 22, 2020	4.88	5.00	4.79	4.97	743,445,295	578,082,569
Sep 21, 2020	5.12	5.15	4.70	4.87	941,205,369	566,759,971
Sep 20, 2020	5.25	5.25	5.05	5.11	602,081,639	594,351,065
Sep 19, 2020	5.22	5.28	5.19	5.26	491,693,943	611,305,773
Sep 18, 2020	5.23	5.24	5.11	5.23	585,843,660	608,627,285
Sep 17, 2020	5.16	5.25	5.12	5.23	572,999,419	608,824,174
Sep 16, 2020	5.21	5.21	5.08	5.16	663,689,104	600,532,767
Sep 15, 2020	5.18	5.34	5.17	5.21	771,249,844	605,851,027
Sep 14, 2020	5.07	5.26	5.03	5.19	688,824,616	603,438,445
Sep 13, 2020	5.26	5.37	5.01	5.08	674,335,392	590,306,742
Sep 12, 2020	5.24	5.28	5.18	5.26	744,301,331	611,576,869
Sep 11, 2020	5.21	5.26	5.09	5.24	1,099,058,524	608,964,079
Sep 10, 2020	5.08	5.24	5.07	5.21	941,957,394	605,844,992
Sep 09, 2020	5.10	5.16	5.00	5.07	915,539,324	590,119,521
Sep 08, 2020	5.12	5.21	4.98	5.10	1,008,973,015	593,472,315
